Goroka,AYGA
Tateyama,RJTE
Hachijojima,RJTH
Iruma,RJTJ
Kisarazu,RJTK
Shimofusa,RJTL
Oshima,RJTO
Kastner Aaf,RJTR
Tokyo Intl,RJTT
Yokota Ab,RJTY
Gwangju,RKJJ
Jeon Ju,RKJU
Yeosu,RKJY
Sokcho,RKND
Gangneung,RKNN
Macomb Municipal Airport,\N
Jeju Intl,RKPC
Jinhae,RKPE
Gimhae Intl,RKPK
Bungle Bungle Airport,YBUU
Ulsan,RKPU
A 511,RKSG
Seoul Ab,RKSM
Osan Ab,RKSO
Gimpo,RKSS
Suwon,RKSW
Pohang,RKTH
Daegu Ab,RKTN
Yecheon,RKTY
Naha,ROAH
Ie Shima Aux Ab,RODE
Kadena Ab,RODN
Ishigaki,ROIG
Kumejima,ROKJ
Minami Daito,ROMD
Miyako,ROMY
Kitadaito,RORK
Shimojishima,RORS
Tarama,RORT
Yoron,RORY
Futenma Mcas,ROTM
Yonaguni,ROYN
Ninoy Aquino Intl,RPLL
Mary Airport,UTAM
Cotabato,RPMC
Cagayan De Oro,RPML
Pagadian,RPMP
Tambler,RPMR
Crocodile Camp,\N
Zamboanga Intl,RPMZ
Baguio,RPUB
Daet,RPUD
Basa Ab,RPUF
Lingayen,RPUG
San Jose,RPUH
Fernando Ab,RPUL
Mamburao,RPUM
Vigan,RPUQ
Baler,RPUR
Kimana,\N
Solio Ranch Airport,\N
Kalundborg Flyveplads,EKKL
Bagabag,RPUZ
Daniel Z Romualdez,RPVA
Bacolod,RPVB
Gardermoen Airport,\N
Dumaguete,RPVD
Caticlan,RPVE
Guiuan,RPVG
Iloilo,RPVI
Kalibo,RPVK
Mactan Cebu Intl,RPVM
Wausau Downtown Airport,\N
Puerto Princesa,RPVP
Antique,RPVS
Comodoro Pierrestegui,SAAC
Gualeguaychu,SAAG
Junin,SAAJ
General Urquiza,SAAP
Rosario,SAAR
Sauce Viejo,SAAV
Aeroparque Jorge Newbery,SABE
Ambrosio L V Taravella,SACO
Chamical,SACT
San Fernando,SADF
Mariano Moreno,SADJ
La Plata,SADL
Moron,SADM
El Palomar,SADP
Chos Malal,SAHC
General Roca,SAHR
El Plumerillo,SAME
Malargue,SAMM
San Rafael,SAMR
Catamarca,SANC
Santiago Del Estero,SANE
Tinogasta,SANI
La Rioja,SANL
Chilecito,SANO
Teniente Benjamin Matienzo,SANT
San Juan,SANU
Rio Cuarto Area De Material,SAOC
Villa Dolores,SAOD
Laboulaye,SAOL
Marcos Juarez,SAOM
Villa Reynolds,SAOR
San Luis,SAOU
Corrientes,SARC
Resistencia,SARE
Formosa,SARF
Cataratas Del Iguazu,SARI
Paso De Los Libres,SARL
Monte Caseros,SARM
Posadas,SARP
Termal,SARS
Salta,SASA
Jujuy,SASJ
Oran,SASO
La Quiaca,SASQ
Portage Municipal Airport,\N
Eldorado,SATD
Goya,SATG
Obera,SATO
Reconquista,SATR
Curuzu Cuatia,SATU
El Bolson,SAVB
Comodoro Rivadavia,SAVC
Esquel,SAVE
Almirante Zar,SAVT
Gobernador Castello,SAVV
El Tehuelche,SAVY
Base Marambio,SAWB
Puerto Deseado,SAWD
Rio Grande,SAWE
Rio Gallegos,SAWG
Ushuaia Malvinas Argentinas,SAWH
San Julian,SAWJ
Perito Moreno,SAWP
Santa Cruz,SAWU
Comandante Espora,SAZB
Coronel Suarez,SAZC
Olavarria,SAZF
General Pico,SAZG
Tres Arroyos,SAZH
Bolivar,SAZI
Gogebic Iron County Airport,\N
Mar Del Plata,SAZM
Presidente Peron,SAZN
Mackinac Island Airport,\N
Comodoro P Zanni,SAZP
Santa Rosa,SAZR
San Carlos De Bariloche,SAZS
Tandil,SAZT
Villa Gesell,SAZV
Cutralco,SAZW
Aviador C Campos,SAZY
Conceicao Do Araguaia,SBAA
Campo Delio Jardim De Mattos,SBAF
Amapa,SBAM
Araraquara,SBAQ
Santa Maria,SBAR
Assis,SBAS
Alta Floresta,SBAT
Aracatuba,SBAU
Val De Cans Intl,SBBE
Comandante Gustavo Kraemer,SBBG
Pampulha Carlos Drummond De Andrade,SBBH
Bacacheri,SBBI
Major Brigadeiro Doorgal Borges,SBBQ
Presidente Juscelino Kubitschek,SBBR
Bauru,SBBU
Boa Vista,SBBV
Barra Do Garcas,SBBW
Cascavel,SBCA
Cachimbo,SBCC
Tancredo Neves Intl,SBCF
Campo Grande,SBCG
Chapeco,SBCH
Carolina,SBCI
Forquilhinha,SBCM
Canoas,SBCO
Bartolomeu Lisandro,SBCP
Corumba Intl,SBCR
Afonso Pena,SBCT
Caravelas,SBCV
Campo Dos Bugres,SBCX
Marechal Rondon,SBCY
Cruzeiro Do Sul,SBCZ
Presidente Prudente,SBDN
Eduardo Gomes Intl,SBEG
Jacareacanga,SBEK
Sao Pedro Da Aldeia,SBES
Cataratas Intl,SBFI
Hercilio Luz,SBFL
Fernando De Noronha,SBFN
Fronteira,SBFT
Furnas,SBFU
Pinto Martins Intl,SBFZ
Galeao Antonio Carlos Jobim,SBGL
Guajara Mirim,SBGM
Santa Genoveva,SBGO
Embraer Unidade Gaviao Peixoto,SBGP
Guarulhos Gov Andre Franco Montouro,SBGR
Guaratingueta,SBGW
Altamira,SBHT
Itacoatiara,SBIC
Itaituba,SBIH
Ilheus,SBIL
Usiminas,SBIP
Hidroeletrica,SBIT
Prefeito Renato Moreira,SBIZ
Julio Cesar,SBJC
Francisco De Assis,SBJF
Presidente Castro Pinto,SBJP
Lauro Carneiro De Loyola,SBJV
Presidente Joao Suassuna,SBKG
Viracopos,SBKP
Lages,SBLJ
Lins,SBLN
Londrina,SBLO
Bom Jesus Da Lapa,SBLP
Lagoa Santa,SBLS
Maraba,SBMA
Monte Dourado,SBMD
Regional De Maringa Silvio Name Junior,SBMG
Mario Ribeiro,SBMK
Grand Marais Cook County Airport,KCKC
Ponta Pelada,SBMN
Zumbi Dos Palmares,SBMO
Macapa,SBMQ
Dix Sept Rosado,SBMS
Marte,SBMT
Manicore,SBMY
Ministro Victor Konder Intl,SBNF
Santo Angelo,SBNM
Augusto Severo,SBNT
Oiapoque,SBOI
Salgado Filho,SBPA
Prefeito Doutor Joao Silva Filho,SBPB
Pocos De Caldas,SBPC
Lauro Kurtz,SBPF
Pelotas,SBPK
Senador Nilo Coelho,SBPL
Porto Nacional,SBPN
Ponta Pora,SBPP
Governador Jorge Teixeira De Oliveira,SBPV
Porter County Municipal Airport,\N
Presidente Medici,SBRB
Guararapes Gilberto Freyre Intl,SBRF
Rio Grande,SBRG
Santos Dumont,SBRJ
Leite Lopes,SBRP
Santa Cruz,SBSC
Professor Urbano Ernesto Stumpf,SBSJ
Marechal Cunha Machado Intl,SBSL
Congonhas,SBSP
Sao Jose Do Rio Preto,SBSR
Base Aerea De Santos,SBST
Deputado Luis Eduardo Magalhaes,SBSV
Trombetas,SBTB
Senador Petronio Portella,SBTE
Tefe,SBTF
Tarauaca,SBTK
Telemaco Borba,SBTL
Tirios,SBTS
Tabatinga,SBTT
Tucurui,SBTU
Sao Gabriel Da Cachoeira,SBUA
Paulo Afonso,SBUF
Rubem Berta,SBUG
Ten Cel Av Cesar Bombonato,SBUL
Urubupunga,SBUP
Uberaba,SBUR
Major Brigadeiro Trompowsky,SBVG
Vilhena,SBVH
Goiabeiras,SBVT
Iauarete,SBYA
Campo Fontenelle,SBYS
Chacalluta,SCAR
Balmaceda,SCBA
El Bosque,SCBQ
Chile Chico,SCCC
El Loa,SCCF
General Bernardo O Higgins,SCCH
Carlos Ibanez Del Campo Intl,SCCI
Teniente Vidal,SCCY
Diego Aracena Intl,SCDA
Arturo Merino Benitez Intl,SCEL
Cerro Moreno Intl,SCFA
Capitan Fuentes Martinez,SCFM
Futaleufu,SCFT
Maria Dolores,SCGE
Guardiamarina Zanartu,SCGZ
Carriel Sur Intl,SCIE
Mataveri Intl,SCIP
Canal Bajo Carlos Hott Siebert,SCJO
Vallenar,SCLL
De La Independencia,SCRG
Teniente Rodolfo Marsh Martin,SCRM
La Florida,SCSE
Eulogio Sanchez,SCTB
Maquehue,SCTC
El Tepual Intl,SCTE
Chaiten,SCTN
Pichoy,SCVD
Chachoan,SEAM
Hacienda Clementina,SECM
Francisco De Orellana,SECO
Mariscal Lamar,SECU
Seymour,SEGS
Jose Joaquin De Olmedo Intl,SEGU
Gualaquiza,SEGZ
Atahualpa,SEIB
Km 192,SEKK
Hacienda La Julia,SELJ
Cotopaxi Intl,SELT
Jose Maria Velasco Ibarra,SEMA
Coronel E Carvajal,SEMC
General Manuel Serrano,SEMH
Montalvo,SEMO
Eloy Alfaro Intl,SEMT
Maragrosa,SEMX
Amable Calle Gutierrez,SEPS
Reales Tamarindos,SEPV
Quevedo,SEQE
Mariscal Sucre Intl,SEQU
Chimborazo,SERB
Coronel Artilleria Victor Larrea,SERO
General Ulpiano Paez,SESA
Santo Domingo Los Colorados,SESD
Taura,SETA
Mayor Galo Torres,SETE
Tarapoa,SETR
Teniente Coronel Luis A Mantilla,SETU
Silverton,\N
Silvio Pettirossi Intl,SGAS
Juan De Ayolas,SGAY
Teniente Col Carmelo Peralta,SGCO
Itaipu,SGIB
Dr Luis Maria Argana Intl,SGME
Carlos Miguel Gimenez,SGPI
El Eden,SKAR
Tres De Mayo,SKAS
Las Flores,SKBC
Palonegro,SKBG
Eldorado Intl,SKBO
Ernesto Cortissoz,SKBQ
Jose Celestino Mutis,SKBS
Gerardo Tobar Lopez,SKBU
Camilo Daza,SKCC
Rafael Nunez,SKCG
Alfonso Bonilla Aragon Intl,SKCL
La Florida,SKCO
Las Brujas,SKCZ
Yariguies,SKEJ
Gustavo Artunduaga Paredes,SKFL
Santiago Vila,SKGI
McCarthy Airport,\N
Juan Casiano,SKGP
Guaymaral,SKGY
Perales,SKIB
San Luis,SKIP
Antonio Roldan Betancourt,SKLC
La Mina,SKLM
Alfredo Vasquez Cobo,SKLT
Olaya Herrera,SKMD
Baracoa,SKMG
Los Garzones,SKMR
Fabio Alberto Leon Bentley,SKMU
La Nubia,SKMZ
Benito Salas,SKNV
Aguas Claras,SKOC
Otu,SKOT
Puerto Bolivar,SKPB
Puerto Carreno,SKPC
Matecana,SKPE
Pitalito,SKPI
Guillermo Leon Valencia,SKPP
Antonio Narino,SKPS
El Embrujo,SKPV
Mariquita,SKQU
Jose Maria Cordova,SKRG
Almirante Padilla,SKRH
Jorge E Gonzalez Torres,SKSJ
Simon Bolivar,SKSM
Gustavo Rojas Pinilla,SKSP
Eduardo Falla Solano,SKSV
Tame,SKTM
Santiago Perez,SKUC
El Carano,SKUI
Farfan,SKUL
Alfonso Lopez Pumarejo,SKVP
Vanguardia,SKVV
Bermejo,SLBJ
Jorge Wilsterman,SLCB
Chimore,SLCH
Heroes Del Acre,SLCO
El Alto Intl,SLLP
Juan Mendoza,SLOR
Capitan Nicolas Rojas,SLPO
Tte De Av Salvador Ogaya G,SLPS
Santa Ana Del Yacuma,SLSA
Juana Azurduy De Padilla,SLSU
Capitan Oriel Lea Plaza,SLTJ
Tte Av Jorge Henrich Arauz,SLTR
Tcnl Rafael Pabon,SLVM
Viru Viru Intl,SLVR
Yacuiba,SLYA
Johan A Pengel Intl,SMJP
Rochambeau,SOCA
St Georges De L Oyapock,SOOG
Huancabamba,SPAB
Alferez Vladimir Sara Bauer,SPAS
Atalaya,SPAY
Seward Airport,\N
Iberia,SPBR
Cap Fap David Abenzur Rengifo Intl,SPCL
Teniente Jaime A De Montreuil Morales,SPEO
Puerto Esperanza,SPEP
Cesar Torke Podesta,SPEQ
Capt Jose A Quinones Gonzales Intl,SPHI
Coronel Fap Alfredo Mendivil Duarte,SPHO
Andahuaylas,SPHY
Comandante Fap German Arias Graziani,SPHZ
Jorge Chavez Intl,SPIM
Juanjui,SPJI
Francisco Carle,SPJJ
Juliaca,SPJL
Michigan City Municipal Airport,KMGC
Ilo,SPLO
Las Palmas,SPLP
Pedro Canga,SPME
Moises Benzaquen Rengifo,SPMS
Collique,SPOL
Chachapoyas,SPPY
Coronel Francisco Secada Vignetta Intl,SPQT
Rodriguez Ballon,SPQU
San Ramon,SPRM
Capitan Carlos Martinez De Pinillos,SPRU
Pisco Intl,SPSO
Cadete Guillermo Del Castillo Paredes,SPST
Coronel Carlos Ciriani Santa Rosa Intl,SPTN
Padre Aldamiz,SPTU
Capitan Fap Guillermo Concha Iberico,SPUR
Capitan Montes,SPYL
Niijima Airport,RJAN
Teniente Alejandro Velasco Astete Intl,SPZO
Angel S Adami,SUAA
Santa Bernardina Intl,SUDU
East Glacier Park Amtrak Station,\N
Carrasco Intl,SUMU
Nueva Hesperides Intl,SUSO
Oswaldo Guevara Mujica,SVAC
Anaco,SVAN
San Fernando De Atabapo,SVAT
General Jose Antonio Anzoategui Intl,SVBC
Barinas,SVBI
El Libertador Ab,SVBL
Barquisimeto Intl,SVBM
Ciudad Bolivar,SVCB
Caicara Del Orinoco,SVCD
San Carlos,SVCJ
Calabozo,SVCL
Canaima,SVCN
Carora,SVCO
General Jose Francisco Bermudez,SVCP
Jose Leonardo Chirinos,SVCR
Oscar Machado Zuloaga,SVCS
Antonio Jose De Sucre,SVCU
Capitan Manuel Rios Guarico Airbase,SVCZ
El Dorado,SVED
Elorza,SVEZ
Guasdualito,SVGD
Guiria,SVGI
Guanare,SVGU
Higuerote,SVHG
Andres Miguel Salazar Marcano,SVIE
Josefa Camejo,SVJC
San Juan De Los Morros,SVJM
La Fria,SVLF
La Orchila,SVLO
La Chinita Intl,SVMC
Alberto Carnevalli,SVMD
Del Caribe Intl Gen Santiago Marino,SVMG
Simon Bolivar Intl,SVMI
Maturin,SVMT
Casique Aramare,SVPA
General Bartolome Salom Intl,SVPC
Paramillo,SVPM
General Manuel Carlos Piar,SVPR
Palmarito,SVPT
San Antonio Del Tachira,SVSA
Santa Barbara De Barinas,SVSB
Santa Elena De Uairen,SVSE
Mayor Buenaventura Vivas,SVSO
Sub Teniente Nestor Arias,SVSP
San Fernando De Apure,SVSR
San Tome,SVST
Santa Barbara Del Zulia,SVSZ
Tucupita,SVTC
Tumeremo,SVTM
Arturo Michelena Intl,SVVA
Flugplatz Hoexter Holzminden,EDVI
Dr Antonio Nicolas Briceno,SVVL
Valle De La Pascua,SVVP
Linden,SYLD
Lethem,SYLT
V C Bird Intl,TAPA
Grantley Adams Intl,TBPB
Canefield,TDCF
Melville Hall,TDPD
Le Lamentin,TFFF
Grand Case,TFFG
Le Raizet,TFFR
Point Salines Intl,TGPY
Cyril E King,TIST
Henry E Rohlsen,TISX
Rafael Hernandez,TJBQ
Diego Jimenez Torres,TJFA
Fernando Luis Ribas Dominicci,TJIG
Eugenio Maria De Hostos,TJMZ
Mercedita,TJPS
Luis Munoz Marin Intl,TJSJ
Robert L Bradshaw,TKPK
Dinslaken Schwarze-Heide,EDLD
George F L Charles,TLPC
Hewanorra Intl,TLPL
Reina Beatrix Intl,TNCA
Flamingo,TNCB
Hato,TNCC
F D Roosevelt,TNCE
Princess Juliana Intl,TNCM
Wallblake,TQPF
Crown Point,TTCP
Piarco,TTPP
Terrance B Lettsome Intl,TUPJ
Allakaket Airport,PFAL
Canouan,TVSC
Mustique,TVSM
E T Joshua,TVSV
Almaty,UAAA
Balkhash,UAAH
Astana Intl,UACC
Taraz,UADD
Manas,UAFM
Osh,UAFO
Shymkent,UAII
Yakutat,PAYA
Uralsk,UARR
Pavlodar,UASP
Semipalatinsk,UASS
Aktau,UATE
Aktyubinsk,UATT
Heydar Aliyev,UBBB
Yakutsk,UEEE
Mirny,UERR
Ignatyevo,UHBB
Novy,UHHH
Sawyer International Airport,KMQT
Provideniya Bay,UHMD
Sokol,UHMM
Pevek,UHMP
Yelizovo,UHPP
Khomutovo,UHSS
Knevichi,UHWW
Kadala,UIAA
Bratsk,UIBB
Irkutsk,UIII
Mukhino,UIUU
Boryspil Intl,UKBB
Donetsk Intl,UKCC
Dnipropetrovsk Intl,UKDD
Simferopol Intl,UKFF
Zhuliany Intl,UKKK
Lviv Intl,UKLL
Ford Airport,KIMT
Odesa Intl,UKOO
Pulkovo,ULLI
Murmansk,ULMM
Gomel,UMGG
Vitebsk,UMII
Khrabrovo,UMKK
Minsk 1,UMMM
Minsk 2,UMMS
Abakan,UNAA
Barnaul,UNBB
Kemerovo,UNEE
Omsk,UNOO
Pashkovskiy,URKK
Uytash,URML
Mineralnyye Vody,URMM
Shpakovskoye,URMT
Rostov Na Donu,URRR
Sochi,URSS
Astrakhan,URWA
Gumrak,URWW
Balandino,USCC
Magnitogorsk,USCM
Great Barrier Island,NZGB
Nizhnevartovsk,USNN
Bolshoye Savino,USPP
Surgut,USRR
Koltsovo,USSS
Ashgabat,UTAA
Turkmenbashi,UTAK
Turkmenabat,UTAV
Dushanbe,UTDD
Bukhara,UTSB
Samarkand,UTSS
Al Udeid AB,OTBH
Yuzhny,UTTT
Bryansk,UUBP
Sheremetyevo,UUEE
Migalovo,UUEM
Chertovitskoye,UUOO
Vnukovo,UUWW
Syktyvkar,UUYY
Kazan,UWKD
Orenburg,UWOO
Ufa,UWUU
Kurumoch,UWWW
Ahmedabad,VAAH
Akola,VAAK
Aurangabad,VAAU
Chhatrapati Shivaji Intl,VABB
Bilaspur,VABI
Bhuj,VABJ
Belgaum,VABM
Vadodara,VABO
Bhopal,VABP
Bhavnagar,VABV
Daman,VADN
Deesa,VADS
Guna,VAGN
Goa,VAGO
Devi Ahilyabai Holkar,VAID
Jabalpur,VAJB
Jamnagar,VAJM
Kandla,VAKE
Khajuraho,VAKJ
Kolhapur,VAKP
Keshod,VAKS
Dr Ambedkar Intl,VANP
Nasik Road,VANR
Pune,VAPO
Porbandar,VAPR
Rajkot,VARK
Raipur,VARP
Sholapur,VASL
Surat,VASU
Udaipur,VAUD
Bandaranaike Intl Colombo,VCBI
Anuradhapura,VCCA
Batticaloa,VCCB
Colombo Ratmalana,VCCC
Amparai,VCCG
Kankesanturai,VCCJ
China Bay,VCCT
Kirkuk AB,ORKK
Kampong Chhnang,VDKH
Phnom Penh Intl,VDPP
Siem Reap,VDSR
Stung Treng,VDST
Along,VEAN
Agartala,VEAT
Aizawl,VEAZ
Bagdogra,VEBD
Bokaro,VEBK
Bhubaneshwar,VEBS
Netaji Subhash Chandra Bose Intl,VECC
Cooch Behar,VECO
Dhanbad,VEDB
Delta County Airport,KESC
Lauf-Lillinghof,\N
Gaya,VEGY
Hirakud,VEHK
Imphal,VEIM
Jharsuguda,VEJH
Jamshedpur,VEJS
Jorhat,VEJT
Kailashahar,VEKR
Silchar,VEKU
Lilabari,VELR
Dibrugarh,VEMN
Muzaffarpur,VEMZ
Nawapara,VENP
Panagarh,VEPH
Patna,VEPT
Purnea,VEPU
Birsa Munda,VERC
Rourkela,VERK
Utkela,VEUK
Vishakhapatnam,VEVZ
Zero,VEZO
Coxs Bazar,VGCB
Shah Amanat Intl,VGEG
Ishurdi,VGIS
Jessore,VGJR
Shah Mokhdum,VGRJ
Saidpur,VGSD
Osmany Intl,VGSY
Tejgaon,VGTJ
Zia Intl,VGZR
Hong Kong Intl,VHHH
Sek Kong,VHSK
Agra,VIAG
Allahabad,VIAL
Amritsar,VIAR
Nal,VIBK
Bakshi Ka Talab,VIBL
Varanasi,VIBN
Kullu Manali,VIBR
Bhatinda,VIBT
Bhiwani,VIBW
Bareilly,VIBY
Chandigarh,VICG
Kanpur Chakeri,VICX
Safdarjung,VIDD
Dehradun,VIDN
Indira Gandhi Intl,VIDP
Gwalior,VIGR
Hissar,VIHR
Jhansi,VIJN
Jodhpur,VIJO
Jaipur,VIJP
Jaisalmer,VIJR
Jammu,VIJU
Kanpur,VIKA
Kota,VIKO
Ludhiana,VILD
Leh,VILH
Lucknow,VILK
Pathankot,VIPK
Patiala,VIPL
Pantnagar,VIPT
Fursatganj,VIRB
Sarsawa,VISP
Srinagar,VISR
Satna,VIST
Balkhash Airport,\N
Luang Phabang Intl,VLLB
Pakse,VLPS
Phonesavanh,VLPV
Savannakhet,VLSK
Sam Neua,VLSN
Wattay Intl,VLVT
Macau Intl,VMMC
Bhairahawa,VNBW
Nastaetten,\N
Janakpur,VNJP
Tribhuvan Intl,VNKT
Pokhara,VNPK
Simara,VNSI
Biratnagar,VNVT
Agatti,VOAT
Bangalore,VOBG
Bellary,VOBI
Bidar,VOBR
Vijayawada,VOBZ
Coimbatore,VOCB
Cochin,VOCC
Calicut,VOCL
Cuddapah,VOCP
Carnicobar,VOCX
Dundigul,VODG
Hyderabad,VOHY
Madurai,VOMD
Mangalore,VOML
Chennai Intl,VOMM
Nagarjuna Sagar,VONS
Port Blair,VOPB
Pondicherry,VOPC
Rajahmundry,VORY
Salem,VOSM
Tanjore,VOTJ
Tirupati,VOTP
Tiruchirappalli,VOTR
Thiruvananthapuram Intl,VOTV
Tambaram,VOTX
Paro,VQPR
Male Intl,VRMM
Don Muang Intl,VTBD
Kamphaeng Saen,VTBK
Khok Kathiam,VTBL
Naha,WAMH
U Taphao Intl,VTBU
Watthana Nakhon,VTBW
Lampang,VTCL
Phrae,VTCP
Hua Hin,VTPH
Takhli,VTPI
Sak Long,VTPL
Nakhon Sawan,VTPN
Phitsanulok,VTPP
Khunan Phumipol,VTPY
Khoun Khan,VTSA
Narathiwat,VTSC
Krabi,VTSG
Songkhla,VTSH
Pattani,VTSK
Samui,VTSM
Cha Ian,VTSN
Phuket Intl,VTSP
Ranong,VTSR
Hat Yai Intl,VTSS
Trang,VTST
Udon Thani,VTUD
Sakon Nakhon,VTUI
Surin,VTUJ
Loei,VTUL
Khorat,VTUN
Rob Muang,VTUR
Finsterwalde-Heinrichsruh,EDAS
Orchid Beach,KOKB
Mara Lodges,\N
Danang Intl,VVDN
Hanoi Gia Lam,VVGL
Kep,VVKP
Noibai Intl,VVNB
Nhatrang,VVNT
Phubai,VVPB
Namanga,\N
Phu Quoc,VVPQ
Tansonnhat Intl,VVTS
Ann,VYAN
Anisakan,VYAS
Bagan,VYBG
Bamburi,KBMQ
Coco Island,VYCI
Heho,VYHH
Hommalinn,VYHL
Kengtung,VYKG
Williamson Country Regional Airport,KMWA
Kyaukpyu,VYKP
Lommis Airport,LSZT
Lashio,VYLS
Lanywa,VYLY
Mandalay Intl,VYMD
Myeik,VYME
Myitkyina,VYMK
Momeik,VYMO
Mong Hsat,VYMS
Nampong,VYNP
Namsang,VYNS
Hpa An,VYPA
Amlikon Glider Airport,LSPA
Putao,VYPT
Pyay,VYPY
Shante,VYST
Sittwe,VYSW
Thandwe,VYTD
Tachileik,VYTL
Taungoo,VYTO
Yangon Intl,VYYY
Hasanuddin,WAAA
Frans Kaisiepo,WABB
Nabire,WABI
Moses Kilangin,WABP
Sentani,WAJJ
Wamena,WAJW
Mopah,WAKK
Jalaluddin,WAMG
Incheon Intl,RKSI
Mutiara,WAML
Sam Ratulangi,WAMM
Kasiguncu,WAMP
Pitu,WAMR
Sultan Babullah,WAMT
Bubung,WAMW
Mukachevo Air Base,\N
Pattimura,WAPP
Fak Fak,WASF
Kaimana,WASK
Babo,WASO
Rendani,WASR
Jefman,WASS
Bintulu,WBGB
Kuching Intl,WBGG
Limbang,WBGJ
Marudi,WBGM
Miri,WBGR
Sibu,WBGS
Lahad Datu,WBKD
Kota Kinabalu Intl,WBKK
Labuan,WBKL
Tawau,WBKW
Brunei Intl,WBSB
Sultan Syarif Kasim Ii,WIBB
Pinang Kampai,WIBD
Soekarno Hatta Intl,WIII
Binaka,WIMB
Aek Godang,WIME
Tabing,WIMG
Polonia,WIMM
Dr Ferdinand Lumban Tobing,WIMS
Nanga Pinoh I,WIOG
Rahadi Usman,WIOK
Mukachevo,\N
Supadio,WIOO
Borovaya Airfield,UMMB
Weser-Wuemme,EDWM
Sultan Thaha,WIPA
Fatmawati Soekarno,WIPL
Sultan Mahmud Badaruddin Ii,WIPP
Japura,WIPR
Lhok Sukon,WITL
Balti International Airport,\N
Sultan Iskandarmuda,WITT
Kluang,WMAP
Sultan Abdul Halim,WMKA
Butterworth,WMKB
Sultan Ismail Petra,WMKC
Kuantan,WMKD
Kerteh,WMKE
Simpang,WMKF
Sultan Azlan Shah,WMKI
Sultan Ismail,WMKJ
Kuala Lumpur Intl,WMKK
Langkawi Intl,WMKL
Malacca,WMKM
Sultan Mahmud,WMKN
Penang Intl,WMKP
Suai,WPDB
Presidente Nicolau Lobato Intl,WPDL
Cakung,WPEC
Sembawang,WSAG
Paya Lebar,WSAP
Tengah,WSAT
Seletar,WSSL
Changi Intl,WSSS
Brisbane Archerfield,YBAF
Bamaga Injinoo,YBAM
Alice Springs,YBAS
Brisbane Intl,YBBN
Gold Coast,YBCG
Cairns Intl,YBCS
Charleville,YBCV
Mount Isa,YBMA
Maroochydore Sunshine Coast,YBMC
Mackay,YBMK
Proserpine Whitsunday Coast,YBPN
Rockhampton,YBRK
Townsville,YBTL
Weipa,YBWP
Avalon,YMAV
Albury,YMAY
Melbourne Essendon,YMEN
East Sale,YMES
Hobart,YMHB
Launceston,YMLT
Melbourne Moorabbin,YMMB
Melbourne Intl,YMML
Point Cook,YMPC
Adelaide Intl,YPAD
Edinburgh,YPED
Perth Jandakot,YPJT
Karratha,YPKA
Kalgoorlie Boulder,YPKG
Kununurra,YPKU
Learmonth,YPLM
Port Hedland Intl,YPPD
Adelaide Parafield,YPPF
Perth Intl,YPPH
Woomera,YPWR
Christmas Island,YPXM
Sydney Bankstown,YSBK
Canberra,YSCB
Coffs Harbour,YSCH
Camden,YSCN
Dubbo,YSDU
Norfolk Island Intl,YSNF
Richmond,YSRI
Sydney Intl,YSSY
Tamworth,YSTW
Wagga Wagga,YSWG
Capital Intl,ZBAA
Hongyuan Airfield,\N
Dongshan,ZBLA
Binhai,ZBTJ
Wusu,ZBYN
Baiyun Intl,ZGGG
Huanghua,ZGHA
Liangjiang,ZGKL
Wuxu,ZGNN
Baoan Intl,ZGSZ
Xinzheng,ZHCC
Tianhe,ZHHH
Pyongyang Intl,ZKPY
Zhongchuan,ZLLL
Xianyang,ZLXY
Chinggis Khaan Intl,ZMUB
Gasa,ZPJH
Wujiaba,ZPPP
Gaoqi,ZSAM
Changbei Intl,ZSCN
Changle,ZSFZ
Xiaoshan,ZSHC
Lishe,ZSNB
Lukou,ZSNJ
Luogang,ZSOF
Liuting,ZSQD
Hongqiao Intl,ZSSS
Laishan,ZSYT
Jiangbei,ZUCK
Longdongbao,ZUGY
Shuangliu,ZUUU
Qingshan,ZUXC
Kashi,ZWSH
Hotan,ZWTN
Diwopu,ZWWW
Taiping,ZYHB
Hohenems,LOIH
Hailang,ZYMD
Zhoushuizi,ZYTL
Pudong,ZSPD
Pulau Tioman,WMBT
Sultan Abdul Aziz Shah Intl,WMSA
Noto,RJNW
Borg El Arab Intl,HEBA
Barter Island Lrrs,PABA
Wainwright As,PAWT
Cape Lisburne Lrrs,PALU
Point Lay Lrrs,PPIZ
Hilo Intl,PHTO
Executive,KORL
Bettles,PABT
Clear,PACL
Indian Mountain Lrrs,PAIM
Fort Yukon,PFYU
Sparrevohn Lrrs,PASV
Bryant Ahp,PAFR
Tatalina Lrrs,PATL
Cape Romanzof Lrrs,PACZ
Laurence G Hanscom Fld,KBED
St Paul Island,PASN
Cape Newenham Lrrs,PAEH
St George,PAPB
Iliamna,PAIL
Platinum,PAPM
Big Mountain Afs,PABM
Oscoda Wurtsmith,KOSC
Marina Muni,KOAR
Sacramento Mather,KMHR
Bicycle Lake Aaf,KBYS
Twentynine Palms Eaf,KNXP
Fort Smith Rgnl,KFSM
Merrill Fld,PAMR
Grants Milan Muni,KGNT
Ponca City Rgnl,KPNC
Hunter Aaf,KSVN
Grand Forks Intl,KGFK
Grider Fld,KPBF
Whiting Fld Nas North,KNSE
Hana,PHHN
Ernest A Love Fld,KPRC
Trenton Mercer,KTTN
